title,author,publisher,year,pages,tags,description
0에서 9까지(오늘의 SF 2호),고호관,아르테,2020,,"문학, 200~300쪽, 소설",백수인 현진은 어느날 0에서 9까지 무작위로 입력만 하는 알바를 하게 된다. 인공지능이 인간 행동을 예측하는 데이터 연구였는데 다른 사람들과 다르게 현진의 행동은 인공지능이 전혀 예측하지 못한다. 인공지능과 인간의 다른 점이 무엇일지 조금 재밌게 뒤틀어보는 소설.
100℃,최규석,창비,2017,211,"인문사회, 200~300쪽, 만화",610 민주항쟁 (영화 '1987')
10대 마음 보고서,따돌림사회연구모임,마리북스,2017,272,"인문사회, 200~300쪽, 교양",센 척하는 청소년들을 어떻게 가르쳐야 하는지 잘 나와 있다. 중고등학교 선생님 6분이 집필한 책으로 아이들과의 관계 맺기 방법을 생각해볼 수 있다.
10대를 위한 사랑학개론,정연희 외,꿈결,2014,232,"인문사회, 200~300쪽, 교양","짝사랑, 습관성 연애, 데이트 폭력, 아름답게 헤어지는 법, 사이버 성폭력, 포르노 중독, 동성애, 성형수술처럼 십대들이 겪거나 생각해보는 일들을 아주 쉽게 씀."
10대와 통하는 기후 정의 이야기,"권희중, 신승철",철수와영희,2021,204,"기타, 200~300쪽, 교양",기후 위기로 발생하는 불평등한 구조를 정의롭게 극복하려는 기후 정의에 관해 쉽게 알려 주고 있다.
10대와 통하는 동물 권리이야기,이유미,철수와영희,2017,200,"인문사회, 200쪽 이하, 교양",동물을 왜 학대하면 안 되는지 알기 쉽게 설명한 책. 동물들의 최소한의 권리를 지키기 위해 인류가 책임을 다한다면 인류와 동물이 평화롭게 공존하는 세상을 만들 수 있다고 말한다.
10대와 통하는 땅과 집 이야기,손낙구,철수와영희,2013,200,"인문사회, 200쪽 이하, 교양","초등학생 때부터 주거 형태에 따라 서로를 구별짓는 한국 사회의 부동산 문제를 청소년의 눈높이에서 다룬 책, 저자는 지구의 한 귀퉁이에 금을 긋고 '여기는 내 꺼야'라고 주장하는 게 그렇게 당연한 일인가 묻는다. 사람이 사는 데 땅이 어떤 의미인가 하는 원론부터 집값이 왜 오르내리는지, 다른 나라 사람들은 집을 어떻게 구해서 사는지, 주거 문제에 관한 우리의 현실을 낯설게 볼 수 있는 기회를 열어준다."
10대와 통하는 일하는 청소년의 권리 이야기,이수정,철수와영희,2015,180,"인문사회, 200쪽 이하, 교양",알바 하는 청소년들이 알아두면 큰 도움이 되는 노동법 상식을 정리했다.
10대와 통하는 탈핵 이야기,최열 외,철수와영희,2014,172,"과학, 200쪽 이하, 시","핵에너지에 대해 환경운동가, 의사, 도시 공학자, 역사학자, 기자가 모여서 최신 정보를 알려준다. 미국에서는 더 이상 핵발전소를 안 짓는 이유가 무엇일까? 프랑스와 독일의 사례를 소개하고 있다."
10대와 통하는 환경과 생태 이야기,최원형,철수와영희,2015,264,"기타, 200~300쪽, 교양",자연환경과 조화를 이루며 사는 삶의 방식을 잘 설명한다. 청소년들이 일상 생활에서 쉽게 실천할 수 있는 방안도 소개한다.
